habitat_label,n_obs,status,eunis_code,eunis_label,eunis_level,match,confidence,note,eunis_uri,decision
Eibe am Springbrunnen,2,linked,I2.2,Small-scale ornamental and domestic garden areas,3,broad,0.80,Yew tree by a fountain in a garden,http://eunis.eea.europa.eu/eunishabitats/I2.2,
Pfarrgarten,2,linked,I2.2,Small-scale ornamental and domestic garden areas,3,exact,0.95,Parsonage garden,http://eunis.eea.europa.eu/eunishabitats/I2.2,
Hofgartenanlage,2,linked,I2.1,Large-scale ornamental garden areas,3,exact,0.90,Large-scale ornamental garden/park,http://eunis.eea.europa.eu/eunishabitats/I2.1,
Obstbaum an der Straße,2,linked,G5.1,Lines of trees,3,broad,0.80,Fruit tree along a road,http://eunis.eea.europa.eu/eunishabitats/G5.1,
Bahndamm,2,linked,J4.3,Rail networks,3,broad,0.90,Railway embankment,http://eunis.eea.europa.eu/eunishabitats/J4.3,
Fichtenwaldungen,2,linked,G3.1,[Abies] and [Picea] woodland,3,exact,0.95,Picea woodland,http://eunis.eea.europa.eu/eunishabitats/G3.1,
Rohricht,2,linked,C3.2,Water-fringing reedbeds and tall helophytes other than canes,3,exact,0.95,Reedbeds,http://eunis.eea.europa.eu/eunishabitats/C3.2,
Bachsaum,2,linked,E5.4,Moist or wet tall-herb and fern fringes and meadows,3,close,0.80,Moist stream fringe,http://eunis.eea.europa.eu/eunishabitats/E5.4,
Schilf und Weidengebüsch,2,linked,F9.2,[Salix] carr and fen scrub,3,close,0.85,Reed and willow carr/scrub,http://eunis.eea.europa.eu/eunishabitats/F9.2,
Arbeitszimmer,2,linked,J1,"Buildings of cities, towns and villages",2,broad,0.95,Study room inside a building,http://eunis.eea.europa.eu/eunishabitats/J1,
Himbeerschlag,2,linked,E5.1,Anthropogenic herb stands,3,close,0.80,Raspberry clearing / anthropogenic herb stand,http://eunis.eea.europa.eu/eunishabitats/E5.1,
Unkraut,2,linked,E5.1,Anthropogenic herb stands,3,broad,0.75,"Weeds, anthropogenic herb stands",http://eunis.eea.europa.eu/eunishabitats/E5.1,
Kartoffelacker,2,linked,I1.1,Intensive unmixed crops,3,exact,0.95,Potato field,http://eunis.eea.europa.eu/eunishabitats/I1.1,
moorige Waldblöße,2,linked,G5.6,Early-stage natural and semi-natural woodlands and regrowth,3,close,0.80,Boggy forest clearing,http://eunis.eea.europa.eu/eunishabitats/G5.6,
Weidicht und Buschwerk,2,linked,F9.1,Riverine scrub,3,exact,0.90,Willow and other riverine scrub,http://eunis.eea.europa.eu/eunishabitats/F9.1,
Kahlschlag,2,linked,G5.8,Recently felled areas,3,exact,0.95,Recently felled area,http://eunis.eea.europa.eu/eunishabitats/G5.8,
Distelfeld,2,linked,E5.1,Anthropogenic herb stands,3,close,0.80,"Thistle field, ruderal herb stand",http://eunis.eea.europa.eu/eunishabitats/E5.1,
Hohlweg,2,linked,J4.2,Road networks,3,broad,0.80,Sunken lane / road network,http://eunis.eea.europa.eu/eunishabitats/J4.2,
Ulme,2,linked,G1.A,"Meso- and eutrophic [Quercus], [Carpinus], [Fraxinus], [Acer], [Tilia], [Ulmus] and related woodland",3,close,0.80,"Elm tree, deciduous woodland element",http://eunis.eea.europa.eu/eunishabitats/G1.A,
Gebüschfeld,2,linked,F3.1,Temperate thickets and scrub,3,close,0.85,Temperate thickets and scrub,http://eunis.eea.europa.eu/eunishabitats/F3.1,
Birnbaum,2,linked,G1.D,Fruit and nut tree orchards,3,close,0.80,"Pear tree, orchard element",http://eunis.eea.europa.eu/eunishabitats/G1.D,
vor dem Haus über dem See,2,linked,J2,Low density buildings,2,broad,0.70,In front of house overlooking lake,http://eunis.eea.europa.eu/eunishabitats/J2,
Tannenreisighaufen,2,linked,J6.3,Non-agricultural organic waste,3,broad,0.75,"Fir brushwood pile, organic waste",http://eunis.eea.europa.eu/eunishabitats/J6.3,
Weiden am Altwasser,2,linked,G1.1,"Riparian and gallery woodland, with dominant [Alnus], [Betula], [Populus] or [Salix]",3,close,0.90,Willows by oxbow lake,http://eunis.eea.europa.eu/eunishabitats/G1.1,
Summre,2,no_match,,,,none,0.00,"Unclear term, possibly dialect or typo",,
Steilufer,2,linked,H3.2,Basic and ultra-basic inland cliffs,3,close,0.75,Steep bank / inland cliff,http://eunis.eea.europa.eu/eunishabitats/H3.2,
Futterwiese,2,linked,E2.1,Permanent mesotrophic pastures and aftermath-grazed meadows,3,exact,0.90,Fodder meadow / pasture,http://eunis.eea.europa.eu/eunishabitats/E2.1,
Sandbänke und Ufer des Flusses,2,linked,C3.6,Unvegetated or sparsely vegetated shores with soft or mobile sediments,3,exact,0.90,Unvegetated river sandbanks and shores,http://eunis.eea.europa.eu/eunishabitats/C3.6,
Ufer des Weihers,2,linked,C3,Littoral zone of inland surface waterbodies,2,close,0.90,Pond shore / littoral zone,http://eunis.eea.europa.eu/eunishabitats/C3,
Weinberge,2,linked,FB.4,Vineyards,3,exact,1.00,Vineyards,http://eunis.eea.europa.eu/eunishabitats/FB.4,
Hotelterrasse,2,linked,J4.6,Pavements and recreation areas,3,broad,0.80,Pavements and recreation areas,http://eunis.eea.europa.eu/eunishabitats/J4.6,
Hotelgarten,2,linked,I2.2,Small-scale ornamental and domestic garden areas,3,close,0.90,Small-scale ornamental and domestic garden areas,http://eunis.eea.europa.eu/eunishabitats/I2.2,
alte Eiche,2,linked,G5.1,Lines of trees,3,broad,0.70,"Single old tree, closest to lines of trees or woodland",http://eunis.eea.europa.eu/eunishabitats/G5.1,
Hof der Akademie,2,linked,J4.6,Pavements and recreation areas,3,broad,0.80,"Courtyard, paved recreation area",http://eunis.eea.europa.eu/eunishabitats/J4.6,
Auwiese,2,linked,E3.4,Moist or wet eutrophic and mesotrophic grassland,3,close,0.90,Moist or wet eutrophic and mesotrophic grassland,http://eunis.eea.europa.eu/eunishabitats/E3.4,
"nördliche, stark mit Schilf bestandene Uferseite",2,linked,C3.2,Water-fringing reedbeds and tall helophytes other than canes,3,exact,0.95,Water-fringing reedbeds,http://eunis.eea.europa.eu/eunishabitats/C3.2,
Äcker,2,linked,I1,Arable land and market gardens,2,exact,1.00,Arable land,http://eunis.eea.europa.eu/eunishabitats/I1,
Stauweiher,2,linked,J5.3,Highly artificial non-saline standing waters,3,exact,0.90,Highly artificial non-saline standing waters,http://eunis.eea.europa.eu/eunishabitats/J5.3,
Holz,2,linked,G,"Woodland, forest and other wooded land",1,close,0.80,German colloquial for forest/woodland,http://eunis.eea.europa.eu/eunishabitats/G,
Föhrenwald,2,linked,G3.4,[Pinus sylvestris] woodland south of the taiga,3,exact,0.95,Pinus sylvestris woodland,http://eunis.eea.europa.eu/eunishabitats/G3.4,
Berghang,2,review,H3,"Inland cliffs, rock pavements and outcrops",2,broad,0.60,"Mountain slope, often rocky",http://eunis.eea.europa.eu/eunishabitats/H3,
Wände,2,linked,H3.2,Basic and ultra-basic inland cliffs,3,broad,0.70,"Cliffs or walls, likely natural rock faces",http://eunis.eea.europa.eu/eunishabitats/H3.2,
Olivenwald,2,linked,G2.4,[Olea europaea] - [Ceratonia siliqua] woodland,3,exact,0.95,Olea europaea woodland,http://eunis.eea.europa.eu/eunishabitats/G2.4,
Camp,2,linked,J2,Low density buildings,2,broad,0.70,Low density buildings or temporary settlement,http://eunis.eea.europa.eu/eunishabitats/J2,
Campos und felsige Hänge,2,linked,E1.3,Mediterranean xeric grassland,3,close,0.80,Mediterranean dry grasslands and rocky slopes,http://eunis.eea.europa.eu/eunishabitats/E1.3,
Lagunen- und Sumpfgebiet,2,linked,X03,Brackish coastal lagoons,2,close,0.80,Brackish coastal lagoon complex,http://eunis.eea.europa.eu/eunishabitats/X03,
Binnenwald,2,linked,G,"Woodland, forest and other wooded land",1,close,0.80,Inland woodland,http://eunis.eea.europa.eu/eunishabitats/G,
steile Gehänge,2,linked,H3,"Inland cliffs, rock pavements and outcrops",2,broad,0.70,Steep slopes / inland cliffs,http://eunis.eea.europa.eu/eunishabitats/H3,
Althemen am Hang,2,linked,G1.6,[Fagus] woodland,3,close,0.80,Althemen (old beeches) on slope,http://eunis.eea.europa.eu/eunishabitats/G1.6,
Orangen-Wäldchen,2,linked,G2.9,Evergreen orchards and groves,3,exact,0.90,Evergreen orchards and groves,http://eunis.eea.europa.eu/eunishabitats/G2.9,
alte hohe Bäume,2,linked,G5.1,Lines of trees,3,broad,0.70,Old tall trees,http://eunis.eea.europa.eu/eunishabitats/G5.1,
Hangwaldungen,2,linked,G,"Woodland, forest and other wooded land",1,close,0.80,Slope forests,http://eunis.eea.europa.eu/eunishabitats/G,
Telegraphenleitung,2,linked,J4,Transport networks and other constructed hard-surfaced areas,2,broad,0.70,"Utility line, transport/infrastructure network",http://eunis.eea.europa.eu/eunishabitats/J4,
Bachtal,2,linked,C2,Surface running waters,2,broad,0.70,Stream valley,http://eunis.eea.europa.eu/eunishabitats/C2,
Gärtchen beim Haus,2,linked,I2.2,Small-scale ornamental and domestic garden areas,3,exact,1.00,Small domestic garden,http://eunis.eea.europa.eu/eunishabitats/I2.2,
Weidengestrüpp,2,linked,F9.1,Riverine scrub,3,exact,0.95,Riverine willow scrub,http://eunis.eea.europa.eu/eunishabitats/F9.1,
Steinmauern,2,linked,J2.5,Constructed boundaries,3,exact,0.90,Constructed boundaries,http://eunis.eea.europa.eu/eunishabitats/J2.5,
Matten,2,linked,E4,Alpine and subalpine grasslands,2,close,0.90,Alpine/subalpine grasslands,http://eunis.eea.europa.eu/eunishabitats/E4,
Weiden und Pappeln,2,linked,G1.1,"Riparian and gallery woodland, with dominant [Alnus], [Betula], [Populus] or [Salix]",3,close,0.90,Riparian woodland with Salix and Populus,http://eunis.eea.europa.eu/eunishabitats/G1.1,
Wälder der Talsohle,2,linked,G1.2,Mixed riparian floodplain and gallery woodland,3,close,0.80,"Valley floor forests, likely riparian",http://eunis.eea.europa.eu/eunishabitats/G1.2,
Buschwald,2,linked,F3,Temperate and mediterranean-montane scrub,2,close,0.80,Temperate scrub / shrubland,http://eunis.eea.europa.eu/eunishabitats/F3,
Latschenregion,2,linked,F2.4,Conifer scrub close to the tree limit,3,exact,0.95,Conifer scrub close to the tree limit,http://eunis.eea.europa.eu/eunishabitats/F2.4,
Feldgelände,2,linked,I1,Arable land and market gardens,2,close,0.80,Agricultural fields,http://eunis.eea.europa.eu/eunishabitats/I1,
Teichgelände,2,linked,C1,Surface standing waters,2,broad,0.80,Pond area,http://eunis.eea.europa.eu/eunishabitats/C1,
Suhle,2,linked,C1.6,"Temporary lakes, ponds and pools",3,broad,0.70,"Wallow, temporary pool",http://eunis.eea.europa.eu/eunishabitats/C1.6,
Mühlweiher,2,linked,J5.3,Highly artificial non-saline standing waters,3,exact,0.90,"Mill pond, artificial standing water",http://eunis.eea.europa.eu/eunishabitats/J5.3,
Seefläche,2,linked,C1,Surface standing waters,2,close,0.90,Lake surface,http://eunis.eea.europa.eu/eunishabitats/C1,
Rohrschopf,2,linked,C3.2,Water-fringing reedbeds and tall helophytes other than canes,3,close,0.80,Reed clump / reedbed,http://eunis.eea.europa.eu/eunishabitats/C3.2,
Bruchwald,2,linked,G1.4,Broadleaved swamp woodland not on acid peat,3,exact,0.90,Broadleaved swamp woodland,http://eunis.eea.europa.eu/eunishabitats/G1.4,
Unterholz,2,linked,G,"Woodland, forest and other wooded land",1,broad,0.80,Undergrowth of woodland,http://eunis.eea.europa.eu/eunishabitats/G,
Quellwasser,2,linked,C2.1,"Springs, spring brooks and geysers",3,exact,0.90,Springs and spring brooks,http://eunis.eea.europa.eu/eunishabitats/C2.1,
Dornenhecke,2,linked,FA.3,Species-rich hedgerows of native species,3,close,0.80,Species-rich hedgerows of native species,http://eunis.eea.europa.eu/eunishabitats/FA.3,
Sumpfgelände,2,linked,D5,"Sedge and reedbeds, normally without free-standing water",2,close,0.80,"Sedge and reedbeds, marshes",http://eunis.eea.europa.eu/eunishabitats/D5,
Garten-Erlenwäldchen am Bach,2,linked,G1.1,"Riparian and gallery woodland, with dominant [Alnus], [Betula], [Populus] or [Salix]",3,close,0.80,Riparian alder woodland in garden context,http://eunis.eea.europa.eu/eunishabitats/G1.1,
hohen Gras,2,linked,E,"Grasslands and lands dominated by forbs, mosses or lichens",1,broad,0.70,Tall grassland,http://eunis.eea.europa.eu/eunishabitats/E,
Westufer,2,linked,C3,Littoral zone of inland surface waterbodies,2,broad,0.70,Lake shore littoral zone,http://eunis.eea.europa.eu/eunishabitats/C3,
Buchenhang,2,linked,G1.6,[Fagus] woodland,3,close,0.90,Fagus woodland on a slope,http://eunis.eea.europa.eu/eunishabitats/G1.6,
Seggewiese,2,linked,D5.2,Beds of large sedges normally without free-standing water,3,exact,0.90,Beds of large sedges,http://eunis.eea.europa.eu/eunishabitats/D5.2,
Grasfeldchen,2,linked,E2,Mesic grasslands,2,close,0.80,Small grassy field,http://eunis.eea.europa.eu/eunishabitats/E2,
Wall,2,linked,J2.5,Constructed boundaries,3,broad,0.70,Constructed boundary or embankment,http://eunis.eea.europa.eu/eunishabitats/J2.5,
Hausgarten,2,linked,I2.2,Small-scale ornamental and domestic garden areas,3,exact,1.00,Small-scale ornamental and domestic garden,http://eunis.eea.europa.eu/eunishabitats/I2.2,
Kornfeld,2,linked,I1.1,Intensive unmixed crops,3,close,0.90,Cereal field,http://eunis.eea.europa.eu/eunishabitats/I1.1,
unter dem Dach,2,linked,J1,"Buildings of cities, towns and villages",2,broad,0.90,Under the roof of a building,http://eunis.eea.europa.eu/eunishabitats/J1,
Watt am Seeufer,2,linked,C3.6,Unvegetated or sparsely vegetated shores with soft or mobile sediments,3,close,0.80,Unvegetated lake shore mud/sand,http://eunis.eea.europa.eu/eunishabitats/C3.6,
Voliere,2,linked,J2,Low density buildings,2,broad,0.80,"Aviary, artificial structure",http://eunis.eea.europa.eu/eunishabitats/J2,
Ackerland,2,linked,I1,Arable land and market gardens,2,exact,1.00,Arable land,http://eunis.eea.europa.eu/eunishabitats/I1,
Lärchen und Tannen,2,linked,G4,Mixed deciduous and coniferous woodland,2,close,0.80,Mixed coniferous woodland (Larix and Abies),http://eunis.eea.europa.eu/eunishabitats/G4,
Buchenhainwald,2,linked,G1.6,[Fagus] woodland,3,close,0.90,Fagus woodland grove,http://eunis.eea.europa.eu/eunishabitats/G1.6,
Brachwiese,2,linked,E2.7,Unmanaged mesic grassland,3,close,0.80,Unmanaged mesic grassland,http://eunis.eea.europa.eu/eunishabitats/E2.7,
Gartenzaun,2,linked,J2.5,Constructed boundaries,3,exact,0.90,"Garden fence, constructed boundary",http://eunis.eea.europa.eu/eunishabitats/J2.5,
Schilfhalme,2,linked,C3.2,Water-fringing reedbeds and tall helophytes other than canes,3,broad,0.90,"Reed stems, water-fringing reedbeds",http://eunis.eea.europa.eu/eunishabitats/C3.2,
Fichten im Moos,2,linked,G3.D,Boreal bog conifer woodland,3,close,0.70,Boreal/nemoral bog conifer woodland,http://eunis.eea.europa.eu/eunishabitats/G3.D,
Schilfwall,2,linked,C3.2,Water-fringing reedbeds and tall helophytes other than canes,3,broad,0.80,Reed barrier or dense reed stand,http://eunis.eea.europa.eu/eunishabitats/C3.2,
Ligusterbusch,2,linked,F3.1,Temperate thickets and scrub,3,close,0.80,"Privet shrub, temperate thicket",http://eunis.eea.europa.eu/eunishabitats/F3.1,
Dämme,2,review,J4,Transport networks and other constructed hard-surfaced areas,2,broad,0.60,"Embankments, constructed hard surfaces",http://eunis.eea.europa.eu/eunishabitats/J4,
Hangfelsen,2,linked,H3.2,Basic and ultra-basic inland cliffs,3,close,0.80,Inland cliffs on slopes,http://eunis.eea.europa.eu/eunishabitats/H3.2,
alte Weide,2,linked,G1.1,"Riparian and gallery woodland, with dominant [Alnus], [Betula], [Populus] or [Salix]",3,close,0.70,Old willow tree or riparian willow,http://eunis.eea.europa.eu/eunishabitats/G1.1,
Dorfbach,2,linked,C2.3,"Permanent non-tidal, smooth-flowing watercourses",3,close,0.80,"Village brook, running water",http://eunis.eea.europa.eu/eunishabitats/C2.3,
Binsen- Schilf-Bestand,2,linked,C3.2,Water-fringing reedbeds and tall helophytes other than canes,3,exact,0.90,Rush and reed beds,http://eunis.eea.europa.eu/eunishabitats/C3.2,
Leitungsdraht,2,linked,J4,Transport networks and other constructed hard-surfaced areas,2,broad,0.80,"Utility wire, artificial structure",http://eunis.eea.europa.eu/eunishabitats/J4,
Buchenwald-Bestände,2,linked,G1.6,[Fagus] woodland,3,exact,1.00,Fagus woodland stands,http://eunis.eea.europa.eu/eunishabitats/G1.6,
Büschen auf der Wiese,2,linked,E7,Sparsely wooded grasslands,2,close,0.80,Sparsely wooded grasslands with shrubs,http://eunis.eea.europa.eu/eunishabitats/E7,
Wattbecken,2,linked,C3.6,Unvegetated or sparsely vegetated shores with soft or mobile sediments,3,close,0.70,"Muddy basin, unvegetated shore",http://eunis.eea.europa.eu/eunishabitats/C3.6,
Wacholder,2,linked,F3.1,Temperate thickets and scrub,3,close,0.80,Juniper scrub,http://eunis.eea.europa.eu/eunishabitats/F3.1,
Siedlung,2,linked,J1.2,Residential buildings of villages and urban peripheries,3,close,0.90,"Settlement, residential buildings",http://eunis.eea.europa.eu/eunishabitats/J1.2,
Schilfwerk,2,linked,C3.2,Water-fringing reedbeds and tall helophytes other than canes,3,exact,0.90,Reedbed structure,http://eunis.eea.europa.eu/eunishabitats/C3.2,
hohen Weiden am Wasserweg im Englischen Garten,2,linked,G1.1,"Riparian and gallery woodland, with dominant [Alnus], [Betula], [Populus] or [Salix]",3,close,0.80,Tall riparian willows in park,http://eunis.eea.europa.eu/eunishabitats/G1.1,
Rain,2,linked,E5.1,Anthropogenic herb stands,3,close,0.70,Grassy field margin or ridge,http://eunis.eea.europa.eu/eunishabitats/E5.1,
Insel,2,review,X,Habitat complexes,1,broad,0.50,"Island, complex habitat",http://eunis.eea.europa.eu/eunishabitats/X,
Erlenauen,2,linked,G1.1,"Riparian and gallery woodland, with dominant [Alnus], [Betula], [Populus] or [Salix]",3,exact,0.95,Riparian alder woodland,http://eunis.eea.europa.eu/eunishabitats/G1.1,
Laubholz,2,linked,G1,Broadleaved deciduous woodland,2,close,0.95,Broadleaved deciduous woodland,http://eunis.eea.europa.eu/eunishabitats/G1,
Trockengebiet,2,linked,E1,Dry grasslands,2,close,0.70,Dry grassland or dry area,http://eunis.eea.europa.eu/eunishabitats/E1,
"Garten, Hangwald",2,review,G,"Woodland, forest and other wooded land",1,broad,0.60,"Mixed habitat description, woodland dominant",http://eunis.eea.europa.eu/eunishabitats/G,
tote Bäume,2,linked,G,"Woodland, forest and other wooded land",1,broad,0.70,Dead trees within woodland,http://eunis.eea.europa.eu/eunishabitats/G,
Teichränder,2,linked,C3,Littoral zone of inland surface waterbodies,2,exact,0.90,Littoral zone of inland waterbodies,http://eunis.eea.europa.eu/eunishabitats/C3,
Kohlenlagerplatz,2,linked,J1.4,Urban and suburban industrial and commercial sites still in active use,3,broad,0.80,Industrial storage site,http://eunis.eea.europa.eu/eunishabitats/J1.4,
Wiesengelände,2,linked,E2,Mesic grasslands,2,close,0.90,Mesic grassland,http://eunis.eea.europa.eu/eunishabitats/E2,
Hof der Fabrik,2,linked,J1.4,Urban and suburban industrial and commercial sites still in active use,3,broad,0.90,Industrial site courtyard,http://eunis.eea.europa.eu/eunishabitats/J1.4,
Vegetation,2,no_match,,,,none,0.10,Too generic to classify,,
beim Steinmetz,2,linked,J2.3,Rural industrial and commercial sites still in active use,3,broad,0.70,"Stonemason yard, rural industrial",http://eunis.eea.europa.eu/eunishabitats/J2.3,
Hangwaldrand,2,linked,E5.2,Thermophile woodland fringes,3,close,0.80,Thermophile woodland fringe,http://eunis.eea.europa.eu/eunishabitats/E5.2,
Silberweide,2,linked,G1.1,"Riparian and gallery woodland, with dominant [Alnus], [Betula], [Populus] or [Salix]",3,close,0.85,Salix alba riparian woodland,http://eunis.eea.europa.eu/eunishabitats/G1.1,
Häuser,2,linked,J1,"Buildings of cities, towns and villages",2,exact,0.95,Buildings,http://eunis.eea.europa.eu/eunishabitats/J1,
Park und Gärten,2,linked,I2,Cultivated areas of gardens and parks,2,exact,0.95,Cultivated areas of gardens and parks,http://eunis.eea.europa.eu/eunishabitats/I2,
Allier,2,linked,C2,Surface running waters,2,broad,0.80,"River name, running water",http://eunis.eea.europa.eu/eunishabitats/C2,
Nadelwald,2,linked,G3,Coniferous woodland,2,exact,1.00,Coniferous woodland,http://eunis.eea.europa.eu/eunishabitats/G3,
Graben am Bach im Garten,2,linked,J5.4,Highly artificial non-saline running waters,3,broad,0.70,Artificial ditch in garden,http://eunis.eea.europa.eu/eunishabitats/J5.4,
Burggarten,2,linked,I2.1,Large-scale ornamental garden areas,3,close,0.85,"Castle garden, ornamental",http://eunis.eea.europa.eu/eunishabitats/I2.1,
Hauswald,2,linked,G,"Woodland, forest and other wooded land",1,close,0.70,Local/domestic woodland,http://eunis.eea.europa.eu/eunishabitats/G,
Schuttplatz,2,linked,J6.1,Waste resulting from building construction or demolition,3,exact,0.90,Debris or waste deposit site,http://eunis.eea.europa.eu/eunishabitats/J6.1,
Garten beim Haus,2,linked,I2.2,Small-scale ornamental and domestic garden areas,3,exact,0.95,Domestic garden,http://eunis.eea.europa.eu/eunishabitats/I2.2,
Balkonnische,2,linked,J1,"Buildings of cities, towns and villages",2,broad,0.90,"Balcony niche, part of building",http://eunis.eea.europa.eu/eunishabitats/J1,
Ententeiche,2,linked,J5.3,Highly artificial non-saline standing waters,3,close,0.80,Artificial duck ponds,http://eunis.eea.europa.eu/eunishabitats/J5.3,
Bachwiesen,2,linked,E3.4,Moist or wet eutrophic and mesotrophic grassland,3,close,0.85,Moist/wet riparian meadows,http://eunis.eea.europa.eu/eunishabitats/E3.4,
ganz kleine Teiche direkt am Verwaltungsgebäude,2,linked,J5.3,Highly artificial non-saline standing waters,3,broad,0.90,Very small artificial ponds by office,http://eunis.eea.europa.eu/eunishabitats/J5.3,
Feldgehölz,2,linked,G5.2,Small broadleaved deciduous anthropogenic woodlands,3,exact,0.90,Small agricultural woodland copse,http://eunis.eea.europa.eu/eunishabitats/G5.2,
Fichtenkolonie,2,linked,G3.1,[Abies] and [Picea] woodland,3,close,0.85,Picea stand,http://eunis.eea.europa.eu/eunishabitats/G3.1,
Konditorei,2,linked,J1.2,Residential buildings of villages and urban peripheries,3,broad,0.80,Confectionery building,http://eunis.eea.europa.eu/eunishabitats/J1.2,
Gebüschten,2,linked,F3,Temperate and mediterranean-montane scrub,2,close,0.90,Temperate scrub,http://eunis.eea.europa.eu/eunishabitats/F3,
Tiergarten,2,linked,X11,Large parks,2,close,0.80,Zoo or large park,http://eunis.eea.europa.eu/eunishabitats/X11,
Waldgraben,2,linked,C2.5,Temporary running waters,3,close,0.70,Forest ditch/temporary stream,http://eunis.eea.europa.eu/eunishabitats/C2.5,
Saatkrähenkolonie,2,no_match,,,,none,0.90,"Rookery, bird colony, not a habitat",,
Ruinen,2,linked,J1.5,"Disused constructions of cities, towns and villages",3,exact,0.90,Disused constructions,http://eunis.eea.europa.eu/eunishabitats/J1.5,
Aschheimerstr.,2,linked,J4.2,Road networks,3,broad,0.80,"Street name, road network",http://eunis.eea.europa.eu/eunishabitats/J4.2,
Tfb,2,no_match,,,,none,0.50,Unclear abbreviation,,
Birkenstück,2,linked,G1.9,"Non-riverine woodland with [Betula], [Populus tremula] or [Sorbus aucuparia]",3,close,0.80,Birch stand,http://eunis.eea.europa.eu/eunishabitats/G1.9,
Vorbecken,2,linked,J5.3,Highly artificial non-saline standing waters,3,close,0.85,Artificial pre-basin,http://eunis.eea.europa.eu/eunishabitats/J5.3,
fast vereistes Wasser,2,linked,C1,Surface standing waters,2,broad,0.70,Nearly frozen standing water,http://eunis.eea.europa.eu/eunishabitats/C1,
Fütterplatz,2,linked,I2.2,Small-scale ornamental and domestic garden areas,3,broad,0.80,Feeding station in garden,http://eunis.eea.europa.eu/eunishabitats/I2.2,
Krähenkolonie,2,review,G5.1,Lines of trees,3,broad,0.60,Usually in lines of trees or small woods,http://eunis.eea.europa.eu/eunishabitats/G5.1,
Röhren,2,linked,C3.2,Water-fringing reedbeds and tall helophytes other than canes,3,close,0.70,Röhricht / reedbeds,http://eunis.eea.europa.eu/eunishabitats/C3.2,
Schilfgewirr und bei der Kiesgrube,2,linked,C3.2,Water-fringing reedbeds and tall helophytes other than canes,3,broad,0.80,Reedbeds near gravel pit,http://eunis.eea.europa.eu/eunishabitats/C3.2,
Wein,2,linked,FB.4,Vineyards,3,exact,0.90,Weinberge / Vineyards,http://eunis.eea.europa.eu/eunishabitats/FB.4,
Bäume der Kolonie,2,linked,G5.1,Lines of trees,3,broad,0.70,Trees of the colony,http://eunis.eea.europa.eu/eunishabitats/G5.1,
Hollerdikkicht,2,linked,F3.1,Temperate thickets and scrub,3,close,0.90,Elderberry thicket,http://eunis.eea.europa.eu/eunishabitats/F3.1,
Kiefernhorst,2,linked,G3.4,[Pinus sylvestris] woodland south of the taiga,3,close,0.80,Small stand of Pinus sylvestris,http://eunis.eea.europa.eu/eunishabitats/G3.4,
K. G.,2,review,I2.2,Small-scale ornamental and domestic garden areas,3,close,0.50,Abbreviation for Kleingarten / Schrebergarten,http://eunis.eea.europa.eu/eunishabitats/I2.2,
verlandetes Altwasser,2,linked,D5,"Sedge and reedbeds, normally without free-standing water",2,close,0.80,Silted-up oxbow lake,http://eunis.eea.europa.eu/eunishabitats/D5,
Ufergärten,2,linked,I2.2,Small-scale ornamental and domestic garden areas,3,close,0.80,Riparian gardens,http://eunis.eea.europa.eu/eunishabitats/I2.2,
Ft. und Wb.,2,review,G,"Woodland, forest and other wooded land",1,broad,0.40,Likely Forst und Wald (Forest and woodland),http://eunis.eea.europa.eu/eunishabitats/G,
Rhodobaumen,2,linked,FB.3,"Shrub plantations for ornamental purposes or for fruit, other than vineyards",3,close,0.70,Rhododendron bushes / ornamental plantation,http://eunis.eea.europa.eu/eunishabitats/FB.3,
Überschwemmungsgebiet,2,linked,E3,Seasonally wet and wet grasslands,2,broad,0.70,Floodplain / seasonally wet grassland,http://eunis.eea.europa.eu/eunishabitats/E3,
Holunder,2,linked,F3.1,Temperate thickets and scrub,3,close,0.80,Elderberry shrub,http://eunis.eea.europa.eu/eunishabitats/F3.1,
Sumpfsumpf,2,linked,D5,"Sedge and reedbeds, normally without free-standing water",2,close,0.80,Swamp / marsh,http://eunis.eea.europa.eu/eunishabitats/D5,
Schlehdornhecke,2,linked,FA.3,Species-rich hedgerows of native species,3,close,0.90,Blackthorn hedge,http://eunis.eea.europa.eu/eunishabitats/FA.3,
Stauseesaum,2,linked,C3.5,Periodically inundated shores with pioneer and ephemeral vegetation,3,close,0.80,Reservoir margin,http://eunis.eea.europa.eu/eunishabitats/C3.5,
Fichtenau,2,linked,G4.6,Mixed [Abies] - [Picea] - [Fagus] woodland,3,close,0.70,Spruce-dominated floodplain forest,http://eunis.eea.europa.eu/eunishabitats/G4.6,
Apfelgarten,2,linked,G1.D,Fruit and nut tree orchards,3,exact,0.90,Apple orchard,http://eunis.eea.europa.eu/eunishabitats/G1.D,
Parkplatz,2,linked,J4.6,Pavements and recreation areas,3,exact,0.90,Parking lot,http://eunis.eea.europa.eu/eunishabitats/J4.6,
Vorbeckenteiche,2,linked,J5.3,Highly artificial non-saline standing waters,3,exact,0.90,Pre-basin ponds,http://eunis.eea.europa.eu/eunishabitats/J5.3,
Futterfutter,2,review,I2.2,Small-scale ornamental and domestic garden areas,3,broad,0.60,Feeding station (Futterplatz),http://eunis.eea.europa.eu/eunishabitats/I2.2,
Waldbäche,2,linked,C2.2,"Permanent non-tidal, fast, turbulent watercourses",3,close,0.80,Forest brooks,http://eunis.eea.europa.eu/eunishabitats/C2.2,
